ID Cliente,Denominazione,P. IVA,Codice Fiscale,Indirizzo,Città,Cap,Provincia,Indirizzo Completo,Codice SDI,Referenti,Pec,Referente Rollup (from Referenti),Email,Ordini,Conta Ordini,Valore Ordini,Fatture Attive,Progetti,To-do List,Potenziali,Competitor,Servizi,Pagamenti,Appuntamenti,Incarichi,Telefono,Attività,Socialia temp,To-do List copy,P.IVA/C.F,pivacodicefiscale,Table 29,Link Dropbox,Record ID Airtable
Acquario di Genova,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recTzoEDOKt1mefON
AESS,"AGENZIA PER L'ENERGIA E LO SVILUPPO SOSTENIBILE ABBREVIABILE IN ""AESS""",02574910366,02574910366,VIA ENRICO CARUSO 3,MODENA,41122,MO,"VIA ENRICO CARUSO 3, 41122 MODENA (MO)",USAL8PV,Alessio Pecoraro,aess@pec.aess.energy,Alessio Pecoraro,,,0,"€0,00",,,,,,,,,,,,,,02574910366,02574910366,,,recRXkbMAUvjJjjZ5
Aitek,AITEK S.P.A.,02804450100,02804450100,VIA DELLA CROCETTA 15,GENOVA,16122,GE,"VIA DELLA CROCETTA 15, 16122 GENOVA (GE)",,Giorgio Murruni,fatturepassive.aitek.spa@legalmail.it,Giorgio Murruni,,,0,"€0,00",,,,,,,,,,,,,,02804450100,02804450100,,https://www.dropbox.com/scl/fo/u18kmquu5u23gkgxjvmp8/AOBOi5VJ6puPLEPJrVeSP5g?rlkey=lzwbfrss2ofkt6k4fpwkw9ojs&dl=0,recA6cnTX6VDesIev
Ameri,AMERI S.R.L.,03765810100,03765810100,VIA DOMENICO FIASELLA 16/20,GENOVA,16121,GE,"VIA DOMENICO FIASELLA 16/20, 16121 GENOVA (GE)",USAL8PV,"Daniela Ameri,Lorena Ameri,Victoria Del Prete",,"Daniela Ameri, Lorena Ameri, Victoria Del Prete",,"24-0029,24-0032,24-0037,25-0004,25-0018",5,"€4161,00",,,,,,,,,,,,,,03765810100,03765810100,,https://www.dropbox.com/scl/fo/iwohkykz45nc3pqlq0fpu/AMIXJErgjTDWOdUd45Z3uE8?rlkey=tk7g2gr2hedtz3osbdrmh4oes&dl=0,rec44f9L0tO4dkPop
AON Challanger,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,A&B Grafica,,,,,,,,,,,,,recGQCcTnYihFTns9
Aqua,ESTETICA E BENESSERE DI STEFANIA CAMORIANO,02129390999,CMRSFN65M44D969P,MOLO PONTE MOROSINI 46,GENOVA,16126,GE,"MOLO PONTE MOROSINI 46, 16126 GENOVA (GE)",BA6ET11,Maia Nogaro,aquaestetica2.0@pec.it,Maia Nogaro,info@aquaesteticaebenessere.it,"24-0001,25-0006",2,"€8080,00","24-3,24-13,24-19,25-5,25-14,25-17",,"Scadenza contratto,Scadenza sito aquaesteticaebenessere.it,Scadenza Manutenzione Sito Aqua",,,,"Anticipo 24-0001 Aqua,Rata 1/4 24-0001 Aqua,Rata 2/4 24-0001 Aqua,Rata 3/4 24-0001 Aqua,Rata 4/4 24-0001 Aqua",Incontro Gestionale,,,,,,02129390999,02129390999,,https://www.dropbox.com/scl/fo/xbyq281wbt86cwv3q59ap/AN3R9MW1rsKundl8P00arnQ?rlkey=zrpbmxq76huca017qside9qdh&dl=0,recYfFrO4e6ofy3Kd
ARCO SRL,,,,,,,,",   ()",,,,,,24-0035,1,"€3280,00",24-20,,,,,,Saldo 24-0035 ARCO SRL,,,,,,,,,,,recykXG3lSiFxwcRT
Aster,,,,,Genova,,,",  Genova ()",,,,,,,0,"€0,00",,,,checked,BlueLime adv,,,,,,,,,,,,,recmXbWEJolrbmaVZ
Ausind,AUSIND SRL,00972070106,00972070106,VIA SAN VINCENZO 2,GENOVA,16121,GE,"VIA SAN VINCENZO 2, 16121 GENOVA (GE)",A4707H7,Daniela Orengo,,Daniela Orengo,ausind@confindustria.ge.it,"24-0016,24-0028,24-0036,25-0003,25-0011,25-0013,25-0019",7,"€4040,00","24-8,24-15,24-16,25-11,25-16,25-20,25-21",,,,,,"Saldo 24-0016 Ausind,Saldo 24-0036 Ausind,Saldo 24-0028 Ausind,Saldo 25-0003 Ausind,Saldo 25-0003 MED,Saldo 25-0011 Ausind,Saldo 25-0013 Ausind,Saldo 25-0013 FERRETTIP,Saldo 25-0011 WILLY,Saldo 25-0019 Ausind,Saldo 25-0019 MATTIA,Saldo 25-0025 Ausind","GIORNO EVENTO - FOTO,Uscita per ripresa Video Testimonianza,Uscita per ripresa Video,Uscita per ripresa Video,Uscita per ripresa Video",,,,,,00972070106,00972070106,,,rectlCr2dm131y6wg
Az. Agr. Filippo Gallino,AZ. AGR. FILIPPO GALLINO DI GALLINO GIANNI,02517330045,GLLGNN67L04B573C,FRAZIONE MADONNA LORETO - VALLE POZZO 63,CANALE,12043,CN,"FRAZIONE MADONNA LORETO - VALLE POZZO 63, 12043 CANALE (CN)",5W4A8J1,,,,INFO@FILIPPOGALLINO.COM,,0,"€0,00",,,,,,,,,,,,,,02517330045,02517330045,,,recApe3dtGrUpVvQd
