Name,Attachments,Date,Calculation,Value
04/24,Movimenti_Conto_30042024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/e3ZJEZy9_p1dnw1bj86gSQ/W0z3rTfPMja4faluW9AeEHH-UUkD5e_KcLAmquRJqRISvXP9ZOOFljmz9htVQ-V_nqbg1ZoZIe1u9ZkfS_j1Qe31bKp7cu6birRGOM73ElkvEnwjnJL-0O0NJb5HVJMuCcEqBTNMYC773LrzCwgJLgews8u32GfGFoytcOqtFJ1qb6jWS2Pdj_I8IDFEjuVc/qOcYOmLCswW_CmlUT_wy8tWIMpeJgZTmdakNo470UXg),30/4/2024,0,"€13973,04"
05/24,Movimenti_Conto_31052024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/Jum08IybHRmK-77tU2ouFQ/D9YD3z9EKBhjiGuJaJ2IEC4VH_0juhLZNuAtfa725uROqXVAYkI1J8cnpKJ4Iwj5IDeV4CdoV5CT7BuD94x-nrSFhNCExj8aEinUZ_9SmvVq8K6ceg_AcYv7P2Bzfkvqp3xDpwdPdB7FZmWajeoZHBzOYcZy15xmYCZyeDExnlpkAwqj3Zopgt67mBm3nk49/LEyG2PlPmdf5Lo2tw8F-B3AtZOEXs9J_yZIaLrcfmHo),31/5/2024,0,"€18476,61"
06/24,estratto conto gleeye 2407.pdf (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/eq_7x1rMs4-P-hyh1rSQ9Q/jEkyi_IVNw3XMHfFmp0RIk6kKgdARo2XuD-canL0qHy9wm76pvgCaIVxE7HyaCm3wJNNiwrcxFYSqgnBXHpNkfV3LrPVqkesjKU0ZU0qvRlo3vhuoJ3IFgPC0kGAemnKLALadJxI4YAFt9_s6gk0pohyAWpy9zXuScBN3OEPqvn6bHUkP5RF7mUwi7PmPinr/v81TZ7V4dRALsOsujPdGa--M0_m-taS8aKyE_ts0uA8),30/6/2024,0,"€17804,13"
07/24,Movimenti_Conto_04082024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/Q_FrTcJ8uc1lZhkUXSmCdQ/Zh4YKUvizx69LP0pjkxnC2N4g4N6YhgvMf1V0d-pstie6205o3555ObLP-PVo3Z7DcTWSq24Q_gnTEnHnGAFzcgK8KBggVOrsmEaVi0J2U5JFfDJI0-LjrmGGF-omRYTSt5fOwHJV92uUU151i9eB_8likb7U7XliXeYrRXdu4oGpzBdrEE-EdocQ16Fkili/cM3BNDFEpTwM-au34Zur8KrMbjpV79Z_ygSqGAftOTY),31/7/2024,0,"€17548,98"
08/24,Movimenti_Conto_05092024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/AwHlGvdcR-LKDvvrCFFUyg/ffc4p2ZHVtUkooXNnVIqJsVURNXXK8VdRmrY97bLmOEVCa6iErxxLYwtLJz_WU8ct3frXxIcO4tyePI-1EJWO1Wj1F-eqBJ6zOiol9agcx4PgU3G-9pJUtXombnIPouAN4N0RCAQK3bdSFwgTFQIJrObjwqj98QYESgb37xLqL-27n5GEOBjG3f1onKb4mPR/XldcZQQaqL78laDZvtf_-KfpnnNUtLalQEmJCfAFJQg),31/8/2024,0,"€13723,45"
09/24,Movimenti_Conto_06102024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/xX6mxWODeiBsHIMA8lm6TA/foei-zMSsuCiYxIUvFqpeuUaAsoTivfLCHCbLrqP1PY29bt8xDdypeaVU84Qvqoi_Jwt7U5C8SHbKRslxHqKy7n_vdMhoV24Ll_RTjTB90qTiuetTQDhpV1EuP52sNePwlq93Y_0Tuju5EmQzQPZ6zlYz9RqIhoEXKgkwS0n4Hi2oV8SwNhDQvGuXW2Qo9Cd/RRq9aM_7LTQmM6d3TeG1IEK27T8dU0acWa9RFl5GGjo),30/9/2024,0,"€23236,78"
10/24,Movimenti_Conto_11112024 (1).xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/Ls35M8LppA_QCLKSTZwuMg/i1V0CeTARYVX_31QOjWIHihf7NIlxv03KSm6hkxZcZE4fHh0X42tVU3rx-l-QozL3VSfU15-y2s5D8ia21VjrNTUBr6fJ3owzJgsXZYqXYNHFmdCQvd64TLXULz7OhQjHpN311c6fcX-hyIcm0vLFdhnfFEzkmcDoebRE5KMyOGy-pslOansvxEc9ZA1bbBY/ointOg-0qb5mR-NO03nK5M9UkElcc4ZREjFNNFDJPoI),31/10/2024,0,"€27170,12"
11/24,Movimenti_Conto_08122024.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/qnLiR1FYRIAmoP_VVEgJhw/vGxS8chqJPLLmLnUBewB2LoZeCsp4BI7Ss_XQOTrWZHFwzGsF_bBlxBlJmacCp-t9xdfDbStLSgDiNYaqlXE5Fpv3z8ZkfybYX9rTuqsV58fBYHc4k2WkQH8a4uU_GwZtmIVaZhvKEwCJJ_9Qy4O0q9Y0JTWJEhZkK_SUMMfuyIXNqErdbcjtBLEBdIo2xQl/WFhnSocOaFNTiA_tyY1s5SeqF0C90OrEAY3scqOZqyo),30/11/2024,0,"€23905,30"
12/24,Movimenti_Conto_05012025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/QSY-_Qg2qFGSi3YR1GvzcQ/gwhvygYFZaTn7rjGIYiCkwc6OOeMEIkr0eb8IWZD7-PGv8-9I6vAvsV6Ub6LKo9_dO5IruZ01fFa-VZq8_KsNJqySTKBKLC_uYcfHGveEVQT4sclo8A9o7pXHnGzLO_r5kIkU5VDxTn8ZFMssxQ8RR9_tnGP-TVhGUVY1PnvugYSY9elII11kGgjjHrtz6V3/BpLdbZXQ72EFlg4uwBrL4WQLwuNPAaV9SmLKS-BzK8Y),31/12/2024,0,"€27777,08"
01/25,Movimenti_Conto_05022025.xlsx (https://v5.airtableusercontent.com/v3/u/48/48/1767621600000/mtjuhMO9iO28wiM8lX2NDQ/hgB8-6wBGiUm6K2mu-sciD6NaaH8-Qk2Pax77gq8xu2aCouTL3MAylLVnhzGM9c1h4wIKSkDtp8jCINGcZ17i00y8J_PnnbIDq5eSCH_d07KWxducW9qvuor8BjXNCqbdSS98H7rE04kmlXTvbJooWzBX7pLzxY5WIWOglmR-mCGk6VE_X0b1vOafCSX_602/O0D0VdS2G2XqloSsXISN0L5d5qUXzKSd-bfdizCxnPs),31/1/2025,0,"€40317,98"
